dataset_id,variable_id,scenario,period,file_path,units,dataset_type,nodata_value,enabled,file_format,resolution
CDD_BASE,CDD,baseline,1981-2010,rasters/baseline/CDD_AllGCMs_historical_1981-2010.tif,days,continuous,-9999,TRUE,,
CDD_245_4170,CDD,ssp245,2041-2070,rasters/future/ssp245/2041-2070/CDD_AllGCMs_ssp245_2041-2070.tif,days,continuous,-9999,TRUE,,
CDD_245_7100,CDD,ssp245,2071-2100,rasters/future/ssp245/2071-2100/CDD_AllGCMs_ssp245_2071-2100.tif,days,continuous,-9999,TRUE,,
CDD_126_4170,CDD,ssp126,2041-2070,rasters/future/ssp126/2041-2070/CDD_AllGCMs_ssp126_2041-2070.tif,days,continuous,-9999,TRUE,,
CDD_126_7100,CDD,ssp126,2071-2100,rasters/future/ssp126/2071-2100/CDD_AllGCMs_ssp126_2071-2100.tif,days,continuous,-9999,TRUE,,
CDD_370_4170,CDD,ssp370,2041-2070,rasters/future/ssp370/2041-2070/CDD_AllGCMs_ssp370_2041-2070.tif,days,continuous,-9999,TRUE,,
CDD_370_7100,CDD,ssp370,2071-2100,rasters/future/ssp370/2071-2100/CDD_AllGCMs_ssp370_2071-2100.tif,days,continuous,-9999,TRUE,,
CDD_585_4170,CDD,ssp585,2041-2070,rasters/future/ssp585/2041-2070/CDD_AllGCMs_ssp585_2041-2070.tif,days,continuous,-9999,TRUE,,
CDD_585_7100,CDD,ssp585,2071-2100,rasters/future/ssp585/2071-2100/CDD_AllGCMs_ssp585_2071-2100.tif,days,continuous,-9999,TRUE,,
Bio05_BASE,Bio05,baseline,1981-2010,rasters/baseline/Bio05_AllGCMs_historical_1981-2010.tif,degrees C,continuous,-9998,TRUE,,
Bio05_245_4170,Bio05,ssp245,2041-2070,rasters/future/ssp245/2041-2070/Bio05_AllGCMs_ssp245_2041-2070.tif,degrees C,continuous,-9997,TRUE,,
Bio05_245_7100,Bio05,ssp245,2071-2100,rasters/future/ssp245/2071-2100/Bio05_AllGCMs_ssp245_2071-2100.tif,degrees C,continuous,-9997,TRUE,,
Bio05_126_4170,Bio05,ssp126,2041-2070,rasters/future/ssp126/2041-2070/Bio05_AllGCMs_ssp126_2041-2070.tif,degrees C,continuous,-9997,TRUE,,
Bio05_126_7100,Bio05,ssp126,2071-2100,rasters/future/ssp126/2071-2100/Bio05_AllGCMs_ssp126_2071-2100.tif,degrees C,continuous,-9997,TRUE,,
Bio05_370_4170,Bio05,ssp370,2041-2070,rasters/future/ssp370/2041-2070/Bio05_AllGCMs_ssp370_2041-2070.tif,degrees C,continuous,-9997,TRUE,,
Bio05_370_7100,Bio05,ssp370,2071-2100,rasters/future/ssp370/2071-2100/Bio05_AllGCMs_ssp370_2071-2100.tif,degrees C,continuous,-9997,TRUE,,
Bio05_585_4170,Bio05,ssp585,2041-2070,rasters/future/ssp585/2041-2070/Bio05_AllGCMs_ssp585_2041-2070.tif,degrees C,continuous,-9997,TRUE,,
Bio05_585_7100,Bio05,ssp585,2071-2100,rasters/future/ssp585/2071-2100/Bio05_AllGCMs_ssp585_2071-2100.tif,degrees C,continuous,-9997,TRUE,,
Bio017_BASE,Bio017,baseline,1981-2010,rasters/baseline/Bio17_AllGCMs_historical_1981-2010.tif,millimeters,continuous,-9996,TRUE,,
Bio017_245_4170,Bio017,ssp245,2041-2070,rasters/future/ssp245/2041-2070/Bio17_AllGCMs_ssp245_2041-2070.tif,millimeters,continuous,-9995,TRUE,,
Bio017_245_7100,Bio017,ssp245,2071-2100,rasters/future/ssp245/2071-2100/Bio17_AllGCMs_ssp245_2071-2100.tif,millimeters,continuous,-9995,TRUE,,
Bio017_126_4170,Bio017,ssp126,2041-2070,rasters/future/ssp126/2041-2070/Bio17_AllGCMs_ssp126_2041-2070.tif,millimeters,continuous,-9995,TRUE,,
Bio017_126_7100,Bio017,ssp126,2071-2100,rasters/future/ssp126/2071-2100/Bio17_AllGCMs_ssp126_2071-2100.tif,millimeters,continuous,-9995,TRUE,,
Bio017_370_4170,Bio017,ssp370,2041-2070,rasters/future/ssp370/2041-2070/Bio17_AllGCMs_ssp370_2041-2070.tif,millimeters,continuous,-9995,TRUE,,
Bio017_370_7100,Bio017,ssp370,2071-2100,rasters/future/ssp370/2071-2100/Bio17_AllGCMs_ssp370_2071-2100.tif,millimeters,continuous,-9995,TRUE,,
Bio017_585_4170,Bio017,ssp585,2041-2070,rasters/future/ssp585/2041-2070/Bio17_AllGCMs_ssp585_2041-2070.tif,millimeters,continuous,-9995,TRUE,,
Bio017_585_7100,Bio017,ssp585,2071-2100,rasters/future/ssp585/2071-2100/Bio17_AllGCMs_ssp585_2071-2100.tif,millimeters,continuous,-9995,TRUE,,
Fire_BASE,Fire,baseline,1981-2010,rasters/baseline/Fire_AllGCMs_historical_1981-2010.asc,probability,continuous,-9994,TRUE,,
Fire_245_4170,Fire,ssp245,2041-2070,rasters/future/ssp245/2041-2070/Fire_AllGCMs_ssp245_2041-2070.asc,probability,continuous,-9993,TRUE,,
Fire_245_7100,Fire,ssp245,2071-2100,rasters/future/ssp245/2071-2100/Fire_AllGCMs_ssp245_2071-2100.asc,probability,continuous,-9993,TRUE,,
Fire_126_4170,Fire,ssp126,2041-2070,rasters/future/ssp126/2041-2070/Fire_AllGCMs_ssp126_2041-2070.asc,probability,continuous,-9993,TRUE,,
Fire_126_7100,Fire,ssp126,2071-2100,rasters/future/ssp126/2071-2100/Fire_AllGCMs_ssp126_2071-2100.asc,probability,continuous,-9993,TRUE,,
Fire_370_4170,Fire,ssp370,2041-2070,rasters/future/ssp370/2041-2070/Fire_AllGCMs_ssp370_2041-2070.asc,probability,continuous,-9993,TRUE,,
Fire_370_7100,Fire,ssp370,2071-2100,rasters/future/ssp370/2071-2100/Fire_AllGCMs_ssp370_2071-2100.asc,probability,continuous,-9993,TRUE,,
Fire_585_4170,Fire,ssp585,2041-2070,rasters/future/ssp585/2041-2070/Fire_AllGCMs_ssp585_2041-2070.asc,probability,continuous,-9993,TRUE,,
Fire_585_7100,Fire,ssp585,2071-2100,rasters/future/ssp585/2071-2100/Fire_AllGCMs_ssp585_2071-2100.asc,probability,continuous,-9993,TRUE,,
PPETConDryMth_Base,PPETConDryMth,baseline,1981-2010,rasters/baseline/PPETConDryMth_AllGCMs_historical_1981-2010.tif,months,continuous,-9992,TRUE,,
PPETConDryMth_245_4170,PPETConDryMth,ssp245,2041-2070,rasters/future/ssp245/2041-2070/PPETConDryMth_AllGCMs_ssp245_2041-2070.tif,months,continuous,-9991,TRUE,,
PPETConDryMth_245_7100,PPETConDryMth,ssp245,2071-2100,rasters/future/ssp245/2071-2100/PPETConDryMth_AllGCMs_ssp245_2071-2100.tif,months,continuous,-9991,TRUE,,
PPETConDryMth_126_4170,PPETConDryMth,ssp126,2041-2070,rasters/future/ssp126/2041-2070/PPETConDryMth_AllGCMs_ssp126_2041-2070.tif,months,continuous,-9991,TRUE,,
PPETConDryMth_126_7100,PPETConDryMth,ssp126,2071-2100,rasters/future/ssp126/2071-2100/PPETConDryMth_AllGCMs_ssp126_2071-2100.tif,months,continuous,-9991,TRUE,,
PPETConDryMth_370_4170,PPETConDryMth,ssp370,2041-2070,rasters/future/ssp370/2041-2070/PPETConDryMth_AllGCMs_ssp370_2041-2070.tif,months,continuous,-9991,TRUE,,
PPETConDryMth_370_7100,PPETConDryMth,ssp370,2071-2100,rasters/future/ssp370/2071-2100/PPETConDryMth_AllGCMs_ssp370_2071-2100.tif,months,continuous,-9991,TRUE,,
